0,1,2
0.6749605,0.6385133,0.66380537
0.8574904,0.85561675,0.84703434
0.70993906,0.67976797,0.68724835
0.7027999,0.7024222,0.70625937
0.89094007,0.89320946,0.90563536
0.8108772,0.8291013,0.8169816
0.5584027,0.56099725,0.5885084
0.81236213,0.787807,0.7800062
0.73258555,0.7533095,0.72311914
0.8392701,0.84242797,0.8452038
0.7948319,0.8125957,0.78603303
0.81410086,0.82022417,0.8128706
0.88261783,0.88061893,0.8747945
0.4870485,0.4747405,0.4744126
0.90463316,0.92380154,0.8994826
0.82096875,0.81969327,0.80794513
0.8712856,0.8627696,0.8626202
0.8445796,0.83220166,0.85746384
0.9023924,0.8895668,0.8839496
0.8782388,0.89185274,0.8917036
0.7142673,0.7268585,0.72912276
0.82021105,0.81984985,0.81100494
0.8075396,0.83026516,0.8261441
0.9129303,0.9059442,0.90673316
0.8643919,0.86529875,0.84562683
0.87344354,0.88396424,0.8898225
0.8256763,0.8718268,0.81304884
0.80085075,0.80808616,0.805081
0.8869125,0.89696765,0.88083065
0.8312179,0.8410634,0.83566546
0.8488153,0.8651311,0.8646358
0.8900609,0.8929204,0.88429415
0.8205317,0.7958736,0.82347846
0.8473401,0.8470299,0.8644961
0.83824766,0.84905183,0.85219425
0.8385689,0.8339061,0.8408052
0.8380112,0.8168982,0.82844675
0.8607786,0.8434075,0.8741535
0.80282795,0.7959752,0.7975646
0.87338805,0.86843675,0.86295533
0.9165789,0.93734217,0.89753354
0.87411225,0.8876387,0.87691844
0.85607797,0.8687674,0.8544436
0.8387813,0.83660924,0.8251651
0.8884665,0.8822986,0.8938694
0.8067541,0.8192946,0.84461606
0.8820494,0.87669504,0.8794079
0.8672813,0.8796664,0.8962989
0.8706234,0.85692513,0.85928345
0.8627919,0.85113037,0.8555568
0.94990444,0.95430475,0.9558004
0.77105486,0.8208991,0.8105123
0.8565967,0.8504956,0.8555739
0.88040674,0.8927785,0.8859532
0.7639924,0.73685026,0.7526867
0.67499363,0.69577056,0.6812117
0.7889242,0.8244402,0.7770604
0.90650296,0.89402854,0.896998
0.626524,0.6204728,0.62254286
0.70162386,0.736591,0.7210114
0.84751284,0.88134503,0.87967443
0.8465329,0.8486477,0.8500857
0.7542807,0.74479747,0.7497734
0.86641335,0.8697421,0.85918283
0.8568057,0.86962104,0.85704565
0.83428425,0.84826577,0.8550935
0.8244814,0.78048295,0.7979226
0.8357612,0.86281425,0.8279363
0.7556427,0.8068611,0.7944493
0.8708372,0.8687395,0.8748678
0.90917695,0.9163412,0.9205862
0.83481616,0.8186654,0.828128
0.733036,0.7281716,0.7295853
0.8447534,0.8426961,0.833743
0.86109096,0.8552322,0.8634677
0.5603223,0.5679046,0.56737226
0.9042783,0.91885084,0.8833783
0.34113434,0.33701316,0.3306831
0.8839581,0.8750022,0.84946537
0.5834136,0.5777905,0.58331
0.8688513,0.8676574,0.8567176
0.85419565,0.8477,0.8519591
0.8952274,0.89204574,0.89286375
0.59009194,0.59221536,0.583664
0.88560325,0.8694043,0.87011945
0.7549099,0.7818505,0.7754628
0.914595,0.9110203,0.9249395
0.42121476,0.42184162,0.43145257
0.85785836,0.87020093,0.8797122
0.9009051,0.91005266,0.89141345
0.8607086,0.8389028,0.87804735
0.6110251,0.62282217,0.59055936
0.88255,0.88231075,0.8769373
0.77506626,0.82444334,0.8022128
0.7621419,0.7847878,0.76847297
0.42166752,0.42380893,0.42512003
0.90282714,0.8966021,0.922616
0.82379055,0.83451885,0.8268479
0.8029276,0.82764137,0.79988146
0.5405146,0.5418019,0.533645
0.87810206,0.85421157,0.8750557
0.8690625,0.8482173,0.8572843
0.8252101,0.7924237,0.8137057
0.9076675,0.9159179,0.8950254
0.82240635,0.80417985,0.7952975
0.83048856,0.8290347,0.8324756
0.8051723,0.83746207,0.8220421
0.78564024,0.78680605,0.7711874
0.72669274,0.7232005,0.7236658
0.7965189,0.7810906,0.7711653
0.80104935,0.7951076,0.8169392
0.8450496,0.8418802,0.8514803
0.4576301,0.46436226,0.4787035
0.8092065,0.8081589,0.8280281
0.8238616,0.8481374,0.86421657
0.8433126,0.8549707,0.8271091
0.8984566,0.8994817,0.9015474
0.8142917,0.81649977,0.7897426
0.8431294,0.83151525,0.8465251
0.7349374,0.7106112,0.74524444
0.85294986,0.83902466,0.8540156
0.89817333,0.8955265,0.88955474
0.8318717,0.83310497,0.8370366
0.87417156,0.8684595,0.8701019
0.78447354,0.79460096,0.788266
0.9420452,0.9381088,0.9362077
0.8655578,0.8699235,0.8591647
0.9214029,0.9295208,0.92680156
0.8476594,0.84313786,0.8337649
0.3658638,0.37437087,0.37152874
0.93919337,0.90586996,0.9327661
0.8047279,0.81594276,0.80569154
0.74691594,0.76895773,0.7765858
0.74449927,0.755806,0.7506512
0.804541,0.775612,0.77929544
0.88900423,0.8875321,0.88626045
0.88639027,0.8609249,0.889116
0.85734385,0.8479308,0.8681328
0.5962312,0.60153,0.6172103
0.81692207,0.8277854,0.81668675
0.8718374,0.8938229,0.8701576
0.8323792,0.83368206,0.8384741
0.87262416,0.89702547,0.91366327
0.85861546,0.8686056,0.8689612
0.6202358,0.62031233,0.6250453
0.83144534,0.8424263,0.8469486
0.83051246,0.8428079,0.81957877
0.740597,0.75316024,0.736049
0.85027295,0.86088586,0.8648193
0.80416137,0.83624804,0.7904566
0.80842096,0.82465434,0.81499773
0.82296145,0.8153528,0.8186338
0.80993813,0.81065685,0.80865604
0.7601528,0.7496278,0.77132255
0.48079926,0.5019555,0.4928919
0.79732424,0.797348,0.7871385
0.84955835,0.84977627,0.8470954
0.83573747,0.8525987,0.83831024
0.8073202,0.8090234,0.84282327
0.8297436,0.84037364,0.840785
0.8125863,0.8031846,0.8073442
0.8157845,0.81447226,0.8136827
0.91996354,0.9118519,0.92470235
0.8160118,0.82433087,0.83241045
0.87813175,0.88875556,0.89633054
0.6310295,0.63293284,0.6325161
0.85089153,0.9022384,0.85488486
0.82198644,0.86174023,0.85599625
0.6731824,0.6740135,0.6786676
0.61687,0.61568373,0.61867815
0.8783908,0.8798759,0.8593497
0.83700025,0.87284046,0.86644375
0.90269697,0.8924134,0.9133454
0.7884426,0.78581405,0.78876376
0.83747506,0.8487383,0.84800184
0.7118517,0.6897154,0.7226801
0.8523842,0.84482056,0.84925574
0.85356545,0.8467313,0.85729
0.8602402,0.8758847,0.85401624
0.866907,0.9083653,0.8837793
0.87810063,0.8752004,0.8783084
0.82652664,0.8166826,0.81787294
0.8201616,0.8202605,0.80432194
0.89501023,0.89267,0.89837617
0.3946272,0.39280272,0.3952973
0.9388559,0.9268381,0.9300583
0.7898649,0.79050004,0.79628474
0.890384,0.87547004,0.86941004
0.92989624,0.9257351,0.9124354
0.8914423,0.8966837,0.89956933
0.797869,0.7853588,0.8139354
0.8854911,0.87019527,0.8648157
0.8871028,0.8990313,0.8775675
0.8229593,0.8200804,0.8200131
0.77678096,0.78026396,0.78692865
0.77300507,0.78253245,0.82475054
0.92565554,0.90817773,0.9076163
0.8484915,0.866086,0.8562502
0.66014725,0.6628175,0.65877867
0.8334896,0.8399529,0.856231
0.808812,0.81571746,0.8146641
0.87664485,0.8810026,0.90004784
0.6604055,0.65984225,0.66847545
0.9109018,0.9206719,0.925272
0.7709484,0.7692476,0.77192044
0.9036039,0.90210927,0.9017606
0.824368,0.8263993,0.8197839
0.8271835,0.8267629,0.8279797
0.74956113,0.7733064,0.76835775
0.7444024,0.761683,0.762505
0.6394868,0.64253235,0.64640594
0.7985319,0.794006,0.80354387
0.872503,0.90683496,0.901526
0.8686259,0.8415766,0.85965526
0.8246546,0.8511529,0.8180643
0.9137959,0.914256,0.9067919
0.7257357,0.7238695,0.72461534
0.9000293,0.9015484,0.90633667
0.9271446,0.9237857,0.9270613
0.9167561,0.918343,0.9248699
0.84587383,0.83619916,0.8528585
0.8659799,0.85627395,0.8653145
0.8904166,0.87470573,0.88750744
0.8481569,0.8493849,0.855029
0.8393737,0.84792614,0.83881176
0.6990911,0.6974871,0.6975019
0.8210711,0.8495112,0.8534353
0.7542976,0.7566322,0.7627324
0.85386825,0.84936064,0.8621621
0.7603487,0.7645302,0.7702719
0.82099473,0.82252395,0.80837977
0.8598381,0.86626315,0.85870075
0.8427701,0.84297204,0.84310544
0.5352334,0.5238272,0.53759843
0.84660125,0.84634876,0.853459
0.85008883,0.8548113,0.85556805
0.8582995,0.85843307,0.8503649
0.9239749,0.9298687,0.9426329
0.55355203,0.5432124,0.54561025
0.84290946,0.85525906,0.86832
0.90553117,0.90861785,0.9034742
0.8700731,0.8787708,0.89298964
0.8515188,0.8384484,0.8597373
0.761405,0.7870407,0.75771797
0.91630924,0.8997773,0.88570434
0.899007,0.8989731,0.88824254
0.88370234,0.90071934,0.90325654
0.8712429,0.8803464,0.86803067
0.96694314,0.94242954,0.96435034
0.9306381,0.91743517,0.92017865
0.8708117,0.8813354,0.89282537
0.6969981,0.708195,0.70958924
0.8935524,0.8768628,0.9071413
0.8374895,0.822767,0.8237524
0.8268317,0.83613,0.8054371
0.7231758,0.7233677,0.72382534
0.7938,0.7990411,0.80776113
0.8947102,0.8767679,0.92184293
0.76742226,0.7687912,0.788733
0.82054585,0.80043435,0.83288556
0.8171114,0.79193527,0.8092196
0.87116945,0.88794756,0.84377337
0.9282129,0.9004512,0.9164851
0.8698414,0.8637513,0.8667015
0.48617125,0.4858744,0.4787795
0.8582069,0.8545772,0.8615897
0.79402316,0.7968408,0.7947216
0.8605231,0.84987473,0.8490946
0.7835028,0.80252194,0.7842058
0.8622991,0.8774056,0.8615087
0.8762194,0.8985568,0.87500906
0.8569873,0.8567612,0.85469574
0.86326516,0.86789906,0.8723903
0.9168158,0.89610904,0.8986336
0.951494,0.95036733,0.9450304
0.86314994,0.86462796,0.86320746
0.80277276,0.7983322,0.81215155
0.63378733,0.63767076,0.63946754
0.8500606,0.85848296,0.8608113
0.86282766,0.8688288,0.86769605
0.8681526,0.8565942,0.8569551
0.8274054,0.83485264,0.84091675
0.8256322,0.83312017,0.82821065
0.93326664,0.89617944,0.9313204
0.82483655,0.82940996,0.8094027
0.83497465,0.8419013,0.832989
0.82811666,0.8325866,0.85460097
0.8363447,0.83384365,0.82180035
0.85691786,0.84670705,0.85830414
0.87522316,0.8691612,0.8736779
0.8865033,0.8814935,0.8751454
0.92749596,0.9273819,0.9316448
0.91139734,0.92004335,0.91368824
0.8939739,0.9057238,0.9121175
0.8943939,0.88345003,0.8768252
0.8959873,0.90373236,0.90870136
0.8869627,0.8666042,0.88333434
0.8320409,0.8273968,0.8255477
0.8068554,0.808761,0.8192151
0.65815437,0.6622995,0.659354
0.87478364,0.88122886,0.87757003
0.8816007,0.90370905,0.8885554
0.8929107,0.8912208,0.89151615
0.88573766,0.8770529,0.88522863
0.87736356,0.85960394,0.8549905
